                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.227,                 3.1111,                 2.4683,                0.50664,                0.47702,                 0.4323,                0.30406,                 2.3625,                 2.2897,                 2.3736,             0.00080701,             0.00080701,             0.00080701
                     36,                 2.2011,                 3.0383,                  2.386,                0.52907,                0.48958,                0.44401,                0.31338,                  2.193,                 2.2508,                 2.3282,             0.00080401,             0.00080401,             0.00080401
                     37,                 2.0754,                 2.9392,                 2.3803,                0.49597,                0.48383,                 0.4588,                0.35156,                   2.01,                 2.2349,                 2.1458,             0.00080101,             0.00080101,             0.00080101
                     38,                 1.9528,                 2.8512,                 2.3731,                0.33979,                 0.6043,                0.45139,                0.33239,                 2.0684,                 2.1866,                 2.3009,             0.00079801,             0.00079801,             0.00079801
                     39,                 1.9669,                 2.7985,                 2.3778,                0.50298,                0.53274,                 0.4292,                0.30332,                 2.2515,                 2.2337,                 2.2714,             0.00079501,             0.00079501,             0.00079501
                     40,                 1.9811,                 2.7858,                 2.3266,                0.37903,                0.51861,                0.48387,                 0.3827,                 1.9966,                 2.1563,                 2.0833,             0.00079201,             0.00079201,             0.00079201
                     41,                 1.9357,                 2.7523,                 2.2536,                0.56464,                 0.5211,                0.43339,                0.31801,                 2.0455,                 2.2078,                 2.1423,             0.00078901,             0.00078901,             0.00078901
                     42,                 1.9185,                 2.7112,                 2.2917,                0.54277,                0.52343,                 0.4191,                0.31776,                 2.0261,                 2.4424,                 2.2227,             0.00078601,             0.00078601,             0.00078601
                     43,                 1.8258,                 2.7267,                 2.3011,                0.39299,                0.50479,                0.46511,                0.34927,                 1.9317,                 2.1363,                  2.066,             0.00078301,             0.00078301,             0.00078301
                     44,                 1.8332,                 2.6839,                 2.2736,                0.43117,                0.67483,                0.47792,                0.33347,                 2.1717,                 2.1392,                 2.0898,             0.00078001,             0.00078001,             0.00078001
                     45,                 1.7724,                  2.468,                 2.2589,                0.36683,                0.61149,                0.49551,                0.37715,                 1.9256,                 2.1385,                 2.0681,             0.00077701,             0.00077701,             0.00077701
                     46,                 1.8115,                 2.5095,                 2.2124,                0.41658,                0.60304,                0.49337,                0.38641,                 1.9064,                  2.014,                 2.0542,             0.00077401,             0.00077401,             0.00077401
                     47,                 1.7612,                 2.5203,                 2.2297,                0.44417,                0.70572,                0.51037,                0.40634,                  1.756,                 1.9217,                  1.944,             0.00077101,             0.00077101,             0.00077101
                     48,                 1.6705,                 2.3017,                 2.1889,                0.44864,                0.63652,                0.48863,                0.36084,                 2.0766,                 2.1063,                 2.0881,             0.00076801,             0.00076801,             0.00076801
                     49,                  1.714,                 2.4768,                 2.1632,                 0.4091,                0.59491,                0.46937,                0.33744,                 2.0204,                 2.2667,                 1.8812,             0.00076501,             0.00076501,             0.00076501
                     50,                 1.6774,                 2.4099,                 2.1364,                0.46598,                0.69034,                0.53752,                 0.4081,                  1.824,                 1.8801,                 2.0023,             0.00076201,             0.00076201,             0.00076201
                     51,                 1.6603,                  2.393,                   2.19,                0.35503,                0.82394,                 0.5658,                 0.4422,                  1.731,                 1.7756,                 1.8683,             0.00075902,             0.00075902,             0.00075902
                     52,                 1.6455,                 2.3245,                 2.1155,                 0.4606,                0.61926,                0.48274,                0.37025,                 1.8016,                 2.0288,                 1.8301,             0.00075602,             0.00075602,             0.00075602
                     53,                 1.6924,                 2.3166,                 2.1675,                0.46404,                0.61695,                0.49611,                0.35447,                 1.9129,                 2.0423,                  1.951,             0.00075302,             0.00075302,             0.00075302
                     54,                 1.5545,                 2.1606,                 2.1307,                0.38614,                0.66253,                0.52867,                0.41785,                 1.7242,                 1.7779,                 1.8641,             0.00075002,             0.00075002,             0.00075002
                     55,                 1.5337,                 2.1728,                 2.1324,                0.38963,                0.73938,                0.56267,                0.45414,                 1.7083,                 1.9217,                 1.8136,             0.00074702,             0.00074702,             0.00074702
                     56,                 1.5292,                 2.1847,                 2.1754,                0.46202,                0.64162,                 0.5467,                0.40827,                 1.9176,                 1.8961,                 1.8304,             0.00074402,             0.00074402,             0.00074402
                     57,                 1.5924,                 2.1468,                 2.0853,                0.47523,                0.66734,                0.56117,                0.45404,                  1.714,                 1.8981,                 1.7609,             0.00074102,             0.00074102,             0.00074102
                     58,                 1.5873,                 2.0948,                 2.0479,                0.47364,                0.71238,                0.57397,                0.43112,                 1.8127,                 1.8231,                 1.8387,             0.00073802,             0.00073802,             0.00073802
                     59,                  1.506,                 2.0991,                 2.0192,                0.50781,                0.74464,                0.59436,                0.45052,                 1.7796,                 1.8195,                 1.8676,             0.00073502,             0.00073502,             0.00073502
                     60,                  1.445,                 2.0672,                 2.0213,                0.44019,                0.79306,                0.56741,                0.45924,                 1.6224,                 1.7201,                 1.7704,             0.00073202,             0.00073202,             0.00073202
                     61,                 1.5226,                 2.0471,                 2.0578,                0.47126,                0.66622,                0.57046,                0.44575,                  1.715,                  1.893,                 1.8591,             0.00072902,             0.00072902,             0.00072902
                     62,                 1.6458,                 2.0928,                 2.0566,                0.49808,                0.63463,                0.57932,                 0.4347,                 1.7277,                 1.8796,                 1.7186,             0.00072602,             0.00072602,             0.00072602
                     63,                 1.5089,                  2.064,                 2.0207,                0.48804,                0.68343,                 0.5762,                0.44159,                 1.7093,                 1.9384,                 1.8014,             0.00072302,             0.00072302,             0.00072302
                     64,                 1.4992,                 2.0378,                 1.9885,                0.53534,                0.73633,                0.61748,                0.48205,                 1.6541,                   1.76,                   1.74,             0.00072002,             0.00072002,             0.00072002
                     65,                 1.5488,                 1.9867,                 2.0303,                0.62905,                0.55082,                0.60887,                 0.4876,                 1.6427,                 1.6381,                 1.6834,             0.00071702,             0.00071702,             0.00071702
                     66,                 1.4278,                 1.9349,                 1.9855,                0.58677,                0.68456,                0.61456,                  0.498,                 1.6167,                 1.6838,                  1.701,             0.00071402,             0.00071402,             0.00071402
                     67,                  1.486,                 1.9986,                 2.0142,                0.60474,                0.68329,                0.63351,                0.51599,                 1.6837,                 1.6129,                 1.7015,             0.00071102,             0.00071102,             0.00071102
                     68,                 1.4804,                 1.9645,                 1.9611,                0.58699,                0.70588,                0.65923,                0.52318,                 1.7515,                 1.5663,                  1.656,             0.00070802,             0.00070802,             0.00070802
                     69,                 1.4542,                 1.9399,                 1.9649,                0.51073,                0.53676,                 0.5426,                0.42337,                 1.6227,                 1.8135,                 1.7123,             0.00070502,             0.00070502,             0.00070502
                     70,                 1.4287,                 1.9265,                 1.9621,                0.53167,                 0.6908,                0.61132,                0.50004,                 1.6575,                 1.6846,                 1.6157,             0.00070202,             0.00070202,             0.00070202
                     71,                 1.5117,                 1.8984,                 1.9832,                0.53687,                0.69856,                0.64059,                0.51558,                 1.5342,                 1.5655,                  1.617,             0.00069902,             0.00069902,             0.00069902
                     72,                 1.4387,                 1.8658,                 1.9486,                0.55837,                0.63662,                 0.5907,                0.48344,                  1.613,                  1.604,                 1.6794,             0.00069602,             0.00069602,             0.00069602
                     73,                 1.4249,                 1.7972,                 1.9484,                0.58294,                0.70123,                 0.6382,                0.50402,                 1.6395,                 1.5755,                 1.6458,             0.00069302,             0.00069302,             0.00069302
                     74,                 1.4388,                 1.8375,                 1.9077,                0.55553,                0.65672,                 0.6564,                0.51384,                 1.7707,                 1.5222,                 1.6048,             0.00069002,             0.00069002,             0.00069002
                     75,                 1.4238,                 1.8719,                 1.9508,                 0.4604,                0.68522,                0.60771,                0.49716,                 1.5502,                 1.6564,                 1.6481,             0.00068702,             0.00068702,             0.00068702
                     76,                 1.4185,                 1.8981,                 1.9635,                0.58213,                0.74756,                0.64588,                0.51979,                 1.6092,                 1.5168,                 1.6313,             0.00068402,             0.00068402,             0.00068402
                     77,                 1.4967,                  1.935,                  1.948,                0.60374,                0.53798,                0.59785,                0.47449,                 1.6518,                 1.5722,                  1.717,             0.00068102,             0.00068102,             0.00068102
                     78,                 1.4009,                  1.794,                 1.9491,                 0.5983,                 0.5914,                0.63301,                0.51871,                 1.5485,                 1.5819,                 1.6585,             0.00067802,             0.00067802,             0.00067802
                     79,                 1.3436,                 1.7522,                 1.9427,                0.61284,                0.72838,                0.65327,                0.53506,                 1.5361,                 1.5138,                 1.6423,             0.00067502,             0.00067502,             0.00067502
                     80,                 1.4216,                 1.7476,                 1.9353,                0.56206,                0.59519,                0.55969,                0.43288,                 1.7843,                  1.921,                   1.66,             0.00067202,             0.00067202,             0.00067202
                     81,                  1.341,                 1.8268,                 1.9376,                0.45008,                0.77656,                0.60758,                0.50695,                 1.4616,                 1.5076,                 1.5913,             0.00066902,             0.00066902,             0.00066902
                     82,                 1.4235,                  1.836,                  1.917,                0.54885,                0.69717,                0.63056,                0.50327,                 1.6018,                 1.6428,                 1.6623,             0.00066602,             0.00066602,             0.00066602
                     83,                 1.4637,                 1.8537,                 1.9087,                0.54978,                 0.6966,                0.61833,                0.49617,                   1.51,                 1.5201,                 1.6075,             0.00066302,             0.00066302,             0.00066302
