                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5461,                 1.5827,                 2.0021,                0.67892,                0.74527,                0.78266,                0.58109,                 2.0926,                 1.8063,                 1.7815,              0.0008878,              0.0008878,              0.0008878
                     36,                 1.4953,                 1.4788,                 1.9655,                0.80308,                0.72741,                0.85661,                0.65344,                  1.877,                 1.5039,                  1.633,              0.0008845,              0.0008845,              0.0008845
                     37,                 1.4876,                 1.4669,                 1.9698,                0.79026,                 0.7373,                 0.7957,                0.65092,                 1.5491,                  1.349,                 1.6048,              0.0008812,              0.0008812,              0.0008812
                     38,                 1.4076,                  1.406,                 1.9523,                0.87972,                0.68189,                0.75021,                0.57918,                 1.8691,                 1.3727,                 1.5639,              0.0008779,              0.0008779,              0.0008779
                     39,                 1.4173,                 1.3878,                 1.9493,                0.77768,                0.73513,                0.74967,                0.54767,                  1.817,                 1.8672,                 1.7581,              0.0008746,              0.0008746,              0.0008746
                     40,                 1.4107,                 1.3928,                 1.9338,                 0.9068,                 0.6546,                0.78049,                0.61112,                 1.6728,                 1.5559,                 1.5548,              0.0008713,              0.0008713,              0.0008713
                     41,                 1.5214,                 1.4043,                 1.9562,                0.88717,                0.70891,                0.76551,                0.61505,                 1.6446,                 1.5513,                 1.5501,               0.000868,               0.000868,               0.000868
                     42,                  1.341,                 1.2631,                 1.9386,                0.88428,                0.68224,                0.77007,                0.63268,                 1.5432,                 1.5824,                 1.5128,              0.0008647,              0.0008647,              0.0008647
                     43,                 1.4054,                 1.3744,                 1.9223,                0.88252,                 0.6297,                0.80556,                0.66146,                 1.6204,                 1.5523,                 1.5528,              0.0008614,              0.0008614,              0.0008614
                     44,                 1.4426,                 1.3536,                 1.9284,                 0.8529,                0.75025,                0.83186,                0.60774,                 2.0789,                 1.6419,                 1.6197,              0.0008581,              0.0008581,              0.0008581
                     45,                 1.4619,                  1.355,                 1.9355,                0.92011,                 0.6687,                0.78021,                0.63305,                 1.5021,                 1.5184,                 1.5521,              0.0008548,              0.0008548,              0.0008548
                     46,                 1.3842,                  1.292,                 1.9025,                0.69742,                0.78138,                  0.819,                0.65363,                 1.5448,                 1.2364,                 1.5255,              0.0008515,              0.0008515,              0.0008515
                     47,                 1.3742,                 1.2833,                 1.9084,                0.83221,                0.73072,                0.81682,                0.66414,                 1.5256,                 1.5466,                 1.5322,              0.0008482,              0.0008482,              0.0008482
                     48,                 1.3477,                  1.308,                 1.9139,                0.88542,                0.71545,                0.77934,                0.64589,                 1.4028,                 1.5621,                 1.5516,              0.0008449,              0.0008449,              0.0008449
                     49,                 1.3889,                 1.3193,                 1.9033,                0.88217,                0.70852,                0.78389,                0.65249,                  1.461,                 1.4371,                 1.5535,              0.0008416,              0.0008416,              0.0008416
                     50,                 1.2812,                 1.2292,                 1.8795,                0.92309,                0.67895,                0.76035,                0.64302,                 1.4053,                 1.3231,                 1.4801,              0.0008383,              0.0008383,              0.0008383
                     51,                 1.3532,                 1.2917,                 1.8864,                0.88083,                0.70148,                0.83966,                0.65453,                 1.4983,                 1.6106,                 1.4826,               0.000835,               0.000835,               0.000835
                     52,                 1.2922,                 1.2467,                 1.8922,                0.81294,                0.72125,                0.71817,                0.55543,                 1.5637,                 1.2939,                 1.4305,              0.0008317,              0.0008317,              0.0008317
                     53,                 1.3542,                 1.2364,                  1.884,                0.69487,                0.71487,                0.72665,                0.60497,                 1.4093,                  1.834,                 1.4908,              0.0008284,              0.0008284,              0.0008284
                     54,                 1.2836,                 1.1921,                 1.8811,                0.68615,                0.78939,                0.81528,                0.67612,                 1.3362,                 1.1366,                  1.459,              0.0008251,              0.0008251,              0.0008251
                     55,                 1.2605,                 1.1235,                 1.8769,                0.68597,                 0.8028,                0.83108,                 0.6642,                 1.5801,                 1.1085,                 1.3874,              0.0008218,              0.0008218,              0.0008218
                     56,                  1.338,                 1.1918,                 1.8751,                0.78455,                0.75213,                0.81189,                0.64727,                 1.5425,                 1.1997,                 1.4636,              0.0008185,              0.0008185,              0.0008185
                     57,                 1.2613,                 1.1687,                 1.8527,                0.77043,                0.75837,                0.83664,                0.71265,                 1.3113,                 1.5432,                 1.4497,              0.0008152,              0.0008152,              0.0008152
                     58,                 1.2254,                 1.1589,                 1.8549,                0.79354,                0.77721,                0.84744,                0.68954,                 1.5811,                 1.2354,                 1.4272,              0.0008119,              0.0008119,              0.0008119
                     59,                 1.2451,                 1.1701,                 1.8436,                0.89085,                0.75327,                0.83345,                0.70862,                 1.2312,                  1.031,                 1.3697,              0.0008086,              0.0008086,              0.0008086
                     60,                  1.249,                 1.0891,                 1.8447,                0.73427,                0.78943,                0.83962,                0.70047,                 1.2659,                 1.3532,                 1.4257,              0.0008053,              0.0008053,              0.0008053
                     61,                 1.2272,                 1.0982,                 1.8457,                0.85727,                0.83012,                0.86357,                0.69743,                 1.4721,                  1.147,                 1.4056,               0.000802,               0.000802,               0.000802
                     62,                 1.2181,                 1.0811,                 1.8562,                0.78321,                0.76791,                 0.8222,                0.66917,                  1.431,                 1.0918,                 1.4303,              0.0007987,              0.0007987,              0.0007987
                     63,                   1.26,                 1.1119,                 1.8506,                 0.8853,                0.72865,                0.80656,                0.64182,                 1.5142,                 1.1444,                 1.4113,              0.0007954,              0.0007954,              0.0007954
                     64,                 1.1985,                 1.1124,                 1.8342,                0.86143,                0.76409,                 0.8541,                0.68334,                 1.4289,                 1.0734,                 1.4016,              0.0007921,              0.0007921,              0.0007921
                     65,                 1.2628,                 1.1079,                 1.8465,                0.90136,                0.77206,                0.86711,                0.69404,                 1.4739,                 1.1688,                 1.3792,              0.0007888,              0.0007888,              0.0007888
                     66,                 1.2318,                 1.1052,                 1.8453,                0.87151,                0.81967,                 0.8806,                0.74512,                 1.2977,                 1.2914,                 1.4553,              0.0007855,              0.0007855,              0.0007855
                     67,                 1.2301,                 1.0899,                 1.8229,                0.83434,                0.84307,                0.91238,                 0.7595,                  1.301,                 1.0178,                 1.4024,              0.0007822,              0.0007822,              0.0007822
