                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4175,                  1.475,                 1.8335,                0.84779,                0.56588,                 0.7315,                0.59354,                 1.5552,                 1.2557,                 1.6275,             0.00080701,             0.00080701,             0.00080701
                     36,                 1.4413,                 1.4926,                 1.8697,                0.83456,                0.62134,                0.76849,                0.62171,                   1.59,                 1.2341,                 1.6328,             0.00080401,             0.00080401,             0.00080401
                     37,                  1.487,                 1.4838,                  1.848,                0.79335,                0.69274,                0.81627,                0.67907,                 1.5762,                 1.1278,                 1.6568,             0.00080101,             0.00080101,             0.00080101
                     38,                 1.3512,                 1.3801,                 1.8403,                0.79133,                0.69042,                0.78989,                0.64977,                 1.5007,                 1.0996,                 1.6181,             0.00079801,             0.00079801,             0.00079801
                     39,                 1.3412,                 1.3576,                 1.8277,                0.74535,                0.69696,                 0.8024,                0.65183,                 1.5925,                  1.071,                   1.59,             0.00079501,             0.00079501,             0.00079501
                     40,                  1.388,                 1.3572,                  1.837,                0.71068,                0.74423,                0.78227,                0.61971,                 1.6424,                 1.1321,                 1.6176,             0.00079201,             0.00079201,             0.00079201
                     41,                 1.3811,                 1.4043,                 1.8373,                 0.7148,                0.68948,                0.78051,                0.65331,                 1.5222,                 1.2303,                 1.6355,             0.00078901,             0.00078901,             0.00078901
                     42,                 1.3952,                 1.3803,                 1.8243,                0.80508,                0.72812,                0.83419,                0.68778,                 1.5064,                 1.0364,                 1.6147,             0.00078601,             0.00078601,             0.00078601
                     43,                 1.4313,                 1.3841,                 1.8368,                0.75221,                 0.7657,                0.85407,                 0.7007,                 1.5272,                 1.0643,                 1.6279,             0.00078301,             0.00078301,             0.00078301
                     44,                 1.3304,                 1.3343,                 1.8183,                0.83536,                0.68751,                0.82504,                0.67908,                 1.6052,                 1.1163,                  1.643,             0.00078001,             0.00078001,             0.00078001
                     45,                 1.3287,                 1.3719,                 1.8012,                0.86119,                0.73642,                0.85711,                0.70615,                 1.4567,                 1.0242,                 1.6336,             0.00077701,             0.00077701,             0.00077701
                     46,                 1.3377,                 1.3492,                   1.81,                0.90859,                 0.7578,                0.85699,                0.70719,                 1.5125,                0.95708,                 1.5804,             0.00077401,             0.00077401,             0.00077401
                     47,                 1.2882,                 1.2651,                 1.8015,                0.93643,                0.70077,                0.85609,                 0.7028,                 1.5783,                0.98687,                 1.6104,             0.00077101,             0.00077101,             0.00077101
                     48,                 1.3203,                 1.2567,                 1.8121,                0.83308,                0.75702,                0.86501,                0.72158,                 1.4084,                0.92897,                 1.6036,             0.00076801,             0.00076801,             0.00076801
                     49,                 1.2794,                 1.2294,                 1.7985,                0.89543,                0.74136,                0.87008,                 0.7374,                 1.3584,                 0.9105,                 1.5825,             0.00076501,             0.00076501,             0.00076501
                     50,                 1.2812,                 1.2175,                 1.7998,                0.81205,                0.72172,                0.83353,                0.68051,                 1.5269,                 1.0541,                  1.597,             0.00076201,             0.00076201,             0.00076201
                     51,                 1.2844,                 1.1934,                 1.7892,                0.87006,                0.79768,                0.87532,                0.71144,                 1.5475,                0.99657,                 1.6238,             0.00075902,             0.00075902,             0.00075902
                     52,                 1.3106,                 1.1991,                 1.7997,                0.90306,                0.75299,                0.88595,                0.73327,                 1.4174,                0.89637,                 1.5789,             0.00075602,             0.00075602,             0.00075602
                     53,                 1.3338,                 1.2195,                 1.8196,                0.78913,                0.75456,                0.85757,                0.69908,                 1.4198,                 1.0348,                 1.6123,             0.00075302,             0.00075302,             0.00075302
                     54,                 1.3114,                 1.1833,                 1.7953,                0.84002,                0.82127,                 0.9056,                0.72985,                 1.5897,                0.98065,                 1.5749,             0.00075002,             0.00075002,             0.00075002
                     55,                 1.3265,                 1.1726,                  1.787,                0.91903,                 0.7614,                0.90791,                0.76793,                 1.3585,                0.82955,                  1.569,             0.00074702,             0.00074702,             0.00074702
                     56,                 1.2501,                 1.1374,                 1.7794,                0.81049,                0.77097,                0.85899,                 0.7203,                 1.3937,                0.89648,                 1.5661,             0.00074402,             0.00074402,             0.00074402
                     57,                 1.1891,                 1.1207,                  1.776,                0.92264,                0.69099,                0.86252,                0.72534,                 1.4537,                0.96009,                 1.5837,             0.00074102,             0.00074102,             0.00074102
                     58,                 1.1815,                 1.0966,                 1.7818,                0.88809,                0.76759,                0.87611,                0.73002,                 1.3893,                 0.8389,                  1.587,             0.00073802,             0.00073802,             0.00073802
                     59,                   1.23,                 1.0964,                 1.7742,                 0.8247,                0.79971,                0.87346,                0.72592,                 1.4177,                0.95058,                 1.5427,             0.00073502,             0.00073502,             0.00073502
                     60,                 1.2294,                 1.1048,                 1.7612,                  0.843,                0.82452,                0.89469,                 0.7283,                 1.5016,                0.94833,                 1.5649,             0.00073202,             0.00073202,             0.00073202
                     61,                 1.2395,                 1.1377,                 1.7788,                0.91093,                0.73822,                0.86543,                0.74952,                 1.2874,                0.85986,                 1.5731,             0.00072902,             0.00072902,             0.00072902
                     62,                 1.2372,                 1.1563,                 1.7645,                0.87638,                0.78677,                0.86583,                0.73327,                 1.2877,                0.87718,                 1.5495,             0.00072602,             0.00072602,             0.00072602
                     63,                 1.1817,                 1.0989,                 1.7667,                0.86542,                0.78013,                 0.8738,                0.75419,                 1.2934,                0.81739,                  1.562,             0.00072302,             0.00072302,             0.00072302
                     64,                 1.2539,                 1.1027,                 1.7582,                0.84927,                0.78489,                0.88431,                0.73921,                 1.3839,                0.93274,                 1.5472,             0.00072002,             0.00072002,             0.00072002
                     65,                 1.1653,                 1.0614,                 1.7501,                0.87295,                0.78944,                 0.8861,                 0.7543,                 1.2808,                0.79361,                 1.5384,             0.00071702,             0.00071702,             0.00071702
                     66,                 1.1911,                 1.0954,                 1.7594,                0.92494,                0.77407,                0.89511,                0.78069,                 1.2579,                0.80212,                 1.5395,             0.00071402,             0.00071402,             0.00071402
                     67,                 1.2932,                 1.1344,                  1.764,                0.90118,                0.80115,                0.89033,                0.77202,                 1.2846,                 0.7652,                 1.5382,             0.00071102,             0.00071102,             0.00071102
                     68,                 1.1404,                 1.0331,                 1.7552,                0.93004,                0.79095,                0.89324,                0.75933,                 1.3256,                0.71245,                 1.5514,             0.00070802,             0.00070802,             0.00070802
                     69,                  1.241,                 1.1445,                 1.7632,                0.91687,                0.76513,                0.87644,                0.75179,                 1.3284,                0.85672,                 1.5398,             0.00070502,             0.00070502,             0.00070502
                     70,                 1.1863,                 1.0467,                 1.7643,                0.90373,                0.75962,                0.88459,                0.75272,                 1.2975,                0.79626,                 1.5349,             0.00070202,             0.00070202,             0.00070202
                     71,                 1.2077,                 1.0696,                 1.7646,                0.88659,                0.76499,                0.89295,                0.75964,                 1.3018,                0.79765,                 1.5102,             0.00069902,             0.00069902,             0.00069902
                     72,                 1.1946,                 1.0429,                 1.7637,                0.88992,                0.75198,                0.89448,                0.76193,                 1.3044,                0.86319,                 1.5311,             0.00069602,             0.00069602,             0.00069602
                     73,                 1.2344,                  1.116,                 1.7681,                0.81715,                0.88459,                0.91936,                 0.7817,                 1.3342,                0.76121,                 1.5473,             0.00069302,             0.00069302,             0.00069302
                     74,                 1.1966,                 1.0518,                 1.7658,                0.93198,                0.74817,                0.86743,                0.75205,                 1.2802,                0.79961,                 1.5179,             0.00069002,             0.00069002,             0.00069002
                     75,                 1.1292,                 1.0192,                 1.7635,                0.85712,                0.80405,                0.88952,                0.76442,                 1.3043,                0.74106,                 1.5473,             0.00068702,             0.00068702,             0.00068702
                     76,                 1.2071,                 1.0554,                 1.7579,                0.86213,                0.79365,                0.88841,                0.76148,                 1.2893,                0.78172,                 1.5279,             0.00068402,             0.00068402,             0.00068402
                     77,                 1.2043,                 1.0177,                 1.7511,                0.87709,                0.80692,                0.87927,                0.75464,                 1.3341,                0.85557,                 1.5296,             0.00068102,             0.00068102,             0.00068102
                     78,                  1.094,                0.94248,                 1.7559,                0.90714,                0.81234,                0.90055,                0.77956,                 1.2338,                 0.7244,                 1.5117,             0.00067802,             0.00067802,             0.00067802
                     79,                 1.1414,                 1.0047,                 1.7414,                 0.9237,                0.80365,                0.91258,                0.78204,                 1.2566,                 0.7257,                 1.5439,             0.00067502,             0.00067502,             0.00067502
                     80,                 1.1614,                 1.0016,                 1.7456,                0.84625,                0.83407,                0.91457,                0.78372,                  1.251,                0.71893,                 1.4933,             0.00067202,             0.00067202,             0.00067202
                     81,                 1.0858,                0.96935,                 1.7415,                0.88852,                 0.7597,                 0.8613,                0.75505,                 1.2856,                0.83741,                 1.5255,             0.00066902,             0.00066902,             0.00066902
                     82,                 1.1226,                0.98751,                 1.7382,                0.90944,                0.74998,                0.87029,                0.76194,                 1.2694,                0.74266,                 1.5209,             0.00066602,             0.00066602,             0.00066602
                     83,                 1.0689,                0.95295,                 1.7318,                 0.8726,                0.83405,                0.90737,                0.79107,                 1.1764,                0.70773,                 1.4988,             0.00066302,             0.00066302,             0.00066302
                     84,                 1.2076,                 1.0081,                 1.7331,                0.86067,                0.82847,                0.90383,                0.76653,                 1.2978,                 0.7816,                 1.4973,             0.00066002,             0.00066002,             0.00066002
                     85,                 1.1039,                0.94799,                 1.7393,                0.84785,                0.79471,                0.88885,                0.76977,                 1.1633,                0.83925,                 1.4863,             0.00065703,             0.00065703,             0.00065703
                     86,                 1.0674,                0.90291,                 1.7303,                0.93109,                0.78203,                 0.8947,                0.78517,                 1.1815,                0.68457,                 1.4999,             0.00065403,             0.00065403,             0.00065403
                     87,                  1.123,                0.93146,                 1.7211,                 0.9321,                 0.7986,                0.90709,                0.78278,                 1.2662,                0.71784,                   1.51,             0.00065103,             0.00065103,             0.00065103
                     88,                  1.077,                0.93884,                 1.7447,                0.78825,                0.88209,                0.90919,                0.78434,                 1.2302,                0.77455,                 1.5027,             0.00064803,             0.00064803,             0.00064803
                     89,                 1.0795,                0.96917,                  1.754,                0.91429,                0.79418,                0.90373,                0.77292,                 1.2929,                0.79819,                 1.5685,             0.00064503,             0.00064503,             0.00064503
                     90,                 1.1331,                0.95102,                 1.7303,                 0.8961,                0.80092,                0.90626,                0.78005,                 1.2119,                 0.7336,                  1.492,             0.00064203,             0.00064203,             0.00064203
                     91,                 1.0674,                0.94092,                 1.7212,                0.83831,                0.83578,                0.89723,                0.78103,                 1.2664,                0.81719,                 1.4999,             0.00063903,             0.00063903,             0.00063903
                     92,                 1.0885,                0.96351,                 1.7366,                0.84981,                0.83872,                0.90426,                0.75491,                 1.3717,                0.77955,                 1.5271,             0.00063603,             0.00063603,             0.00063603
                     93,                 1.1043,                0.92024,                  1.725,                0.86522,                0.79275,                0.89131,                0.76463,                 1.2463,                0.87983,                   1.51,             0.00063303,             0.00063303,             0.00063303
                     94,                 1.0994,                0.93853,                 1.7249,                0.93121,                 0.8088,                 0.9103,                0.77928,                 1.2117,                0.71041,                 1.4932,             0.00063003,             0.00063003,             0.00063003
                     95,                 1.0998,                0.92149,                 1.7266,                0.95417,                0.75145,                0.89479,                0.77512,                  1.161,                0.69483,                 1.4836,             0.00062703,             0.00062703,             0.00062703
                     96,                 1.1662,                0.92709,                 1.7388,                0.93488,                0.77006,                0.89851,                 0.7632,                 1.3248,                0.72424,                 1.5076,             0.00062403,             0.00062403,             0.00062403
                     97,                 1.1042,                0.87103,                 1.7219,                0.86412,                0.86608,                0.90723,                0.78346,                 1.2049,                0.66356,                 1.4886,             0.00062103,             0.00062103,             0.00062103
                     98,                 1.0437,                0.90914,                 1.7283,                0.88001,                0.80292,                0.88106,                 0.7677,                 1.1849,                0.74289,                    1.5,             0.00061803,             0.00061803,             0.00061803
                     99,                 1.0538,                0.91172,                 1.7139,                0.87918,                0.80391,                0.88115,                0.75305,                 1.2629,                0.78587,                 1.5049,             0.00061503,             0.00061503,             0.00061503
                    100,                 1.1182,                0.95807,                 1.7308,                0.92513,                0.80964,                0.89387,                0.77248,                 1.2464,                0.71887,                 1.4871,             0.00061203,             0.00061203,             0.00061203
                    101,                 1.0365,                0.86414,                 1.7179,                0.87694,                0.76738,                 0.8762,                0.75892,                 1.1934,                0.75929,                 1.4935,             0.00060903,             0.00060903,             0.00060903
                    102,                 1.0802,                0.88932,                 1.7086,                0.92321,                0.78065,                0.90654,                0.77084,                 1.2699,                0.68177,                 1.5039,             0.00060603,             0.00060603,             0.00060603
